ROUTEID,FROMMEASURE,TOMEASURE,FROMDATE,TODATE,EVENTID,AADT,AADT_YEAR,GIS_ID,OBJECTID,SHAPE,GLOBALID,CREATOR,CREATED,EDITOR,EDITED,SHAPELEN
11000102,4432.2905,4432.3,2023/01/01 05:00:00+00,,{4D5803A2-0AE6-4A47-9AA3-5F4E2E12D367},4091,2023,,377655,,{3175CA6F-9B4C-4E6B-8D11-B038F3908C55},JLAY,2024/10/26 07:36:20+00,JLAY,2024/10/26 07:36:20+00,0
11000202,499.9,601.6,2023/01/01 05:00:00+00,2023/02/13 05:00:00+00,{E44E98C0-9892-4810-A2CF-44966214718E},11123,2023,,377656,,{48D4E79D-4846-4F63-9A85-65015884FBD2},JLAY,2024/10/26 07:36:20+00,JLAY,2024/10/26 07:36:20+00,0
11000202,499.9,601.6,2023/02/13 05:00:00+00,,{E44E98C0-9892-4810-A2CF-44966214718E},11123,2023,,377657,,{089276F0-D6FB-40AE-B94C-5A06A257C941},JLAY,2024/10/26 07:36:20+00,JLAY,2024/10/26 07:36:20+00,0
11000202,601.6,754.1,2023/01/01 05:00:00+00,2023/02/13 05:00:00+00,{6829556B-7FA3-4B48-9A9B-8C70779ADD94},11123,2023,,377658,,{AFFBA721-EF64-4E16-AA1C-C62FDC443E46},JLAY,2024/10/26 07:36:20+00,JLAY,2024/10/26 07:36:20+00,0
11000202,601.6,754.1,2023/02/13 05:00:00+00,,{6829556B-7FA3-4B48-9A9B-8C70779ADD94},11123,2023,,377659,,{C89343EC-3D05-41E0-892D-78CD26637A8A},JLAY,2024/10/26 07:36:20+00,JLAY,2024/10/26 07:36:20+00,0
11000302,0,92.6,2023/01/01 05:00:00+00,2023/07/12 04:00:00+00,{1F1532A6-8A51-4B09-ABA9-69866F835982},8893,2023,,377660,,{1D20DB6D-2F97-4DDE-BEA3-09788E7A1A8E},JLAY,2024/10/26 07:36:20+00,JLAY,2024/10/26 07:36:20+00,0
11000302,0,92.6,2023/07/12 04:00:00+00,2023/08/17 04:00:00+00,{1F1532A6-8A51-4B09-ABA9-69866F835982},8893,2023,,377661,,{0957EFBB-AEA1-475B-9BD1-6F76F4CA13E9},JLAY,2024/10/26 07:36:20+00,JLAY,2024/10/26 07:36:20+00,0
11000302,0,92.6,2023/08/17 04:00:00+00,2023/08/17 04:00:00+00,{1F1532A6-8A51-4B09-ABA9-69866F835982},8893,2023,,377662,,{D4AE658D-F882-48B7-8F25-CDC4FFF3B6D5},JLAY,2024/10/26 07:36:20+00,JLAY,2024/10/26 07:36:20+00,0
11000302,0,92.6,2023/08/17 04:00:00+00,2023/08/30 04:00:00+00,{1F1532A6-8A51-4B09-ABA9-69866F835982},8893,2023,,377663,,{4D384E3C-958B-4BA3-8261-A4845C09C7E6},JLAY,2024/10/26 07:36:20+00,JLAY,2024/10/26 07:36:20+00,0
11000302,0,92.6,2023/08/30 04:00:00+00,,{1F1532A6-8A51-4B09-ABA9-69866F835982},8893,2023,,377664,,{B10028D4-F0D9-4861-9282-21F0A01D189B},JLAY,2024/10/26 07:36:20+00,JLAY,2024/10/26 07:36:20+00,0
